F31,BIPOLAR DISORDER
F310,"BIPOLAR DISORDER, CURRENT EPISODE HYPOMANIC"
F310,"BIPOLAR DISORDER, CURRENT EPISODE HYPOMANIC"
F311,"BIPOLAR DISORDER, CURRENT EPISODE MANIC W/O PSYCH FEATURES"
F3110,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, UNSP"
F3110,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, UNSP"
F3111,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MILD"
F3111,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MILD"
F3112,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MOD"
F3112,"BIPOLAR DISORD, CRNT EPISODE MANIC W/O PSYCH FEATURES, MOD"
F3113,"BIPOLAR DISORD, CRNT EPSD MANIC W/O PSYCH FEATURES, SEVERE"
F3113,"BIPOLAR DISORD, CRNT EPSD MANIC W/O PSYCH FEATURES, SEVERE"
F312,"BIPOLAR DISORD, CRNT EPISODE MANIC SEVERE W PSYCH FEATURES"
F312,"BIPOLAR DISORD, CRNT EPISODE MANIC SEVERE W PSYCH FEATURES"
F313,"BIPOLAR DISORD, CURRENT EPISODE DEPRESS, MILD OR MOD SEVERT"
F3130,"BIPOLAR DISORD, CRNT EPSD DEPRESS, MILD OR MOD SEVERT, UNSP"
F3130,"BIPOLAR DISORD, CRNT EPSD DEPRESS, MILD OR MOD SEVERT, UNSP"
F3131,"BIPOLAR DISORDER, CURRENT EPISODE DEPRESSED, MILD"
F3131,"BIPOLAR DISORDER, CURRENT EPISODE DEPRESSED, MILD"
F3132,"BIPOLAR DISORDER, CURRENT EPISODE DEPRESSED, MODERATE"
F3132,"BIPOLAR DISORDER, CURRENT EPISODE DEPRESSED, MODERATE"
F314,"BIPOLAR DISORD, CRNT EPSD DEPRESS, SEV, W/O PSYCH FEATURES"
F314,"BIPOLAR DISORD, CRNT EPSD DEPRESS, SEV, W/O PSYCH FEATURES"
F315,"BIPOLAR DISORD, CRNT EPSD DEPRESS, SEVERE, W PSYCH FEATURES"
F315,"BIPOLAR DISORD, CRNT EPSD DEPRESS, SEVERE, W PSYCH FEATURES"
F316,"BIPOLAR DISORDER, CURRENT EPISODE MIXED"
F3160,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, UNSPECIFIED"
F3160,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, UNSPECIFIED"
F3161,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, MILD"
F3161,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, MILD"
F3162,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, MODERATE"
F3162,"BIPOLAR DISORDER, CURRENT EPISODE MIXED, MODERATE"
F3163,"BIPOLAR DISORD, CRNT EPSD MIXED, SEVERE, W/O PSYCH FEATURES"
F3163,"BIPOLAR DISORD, CRNT EPSD MIXED, SEVERE, W/O PSYCH FEATURES"
F3164,"BIPOLAR DISORD, CRNT EPISODE MIXED, SEVERE, W PSYCH FEATURES"
F3164,"BIPOLAR DISORD, CRNT EPISODE MIXED, SEVERE, W PSYCH FEATURES"
F317,"BIPOLAR DISORDER, CURRENTLY IN REMISSION"
F3170,"BIPOLAR DISORD, CURRENTLY IN REMIS, MOST RECENT EPISODE UNSP"
F3170,"BIPOLAR DISORD, CURRENTLY IN REMIS, MOST RECENT EPISODE UNSP"
F3171,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPSD HYPOMANIC"
F3171,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPSD HYPOMANIC"
F3172,"BIPOLAR DISORD, IN FULL REMIS, MOST RECENT EPISODE HYPOMANIC"
F3172,"BIPOLAR DISORD, IN FULL REMIS, MOST RECENT EPISODE HYPOMANIC"
F3173,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MANIC"
F3173,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MANIC"
F3174,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MANIC"
F3174,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MANIC"
F3175,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPSD DEPRESS"
F3175,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPSD DEPRESS"
F3176,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE DEPRESS"
F3176,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE DEPRESS"
F3177,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MIXED"
F3177,"BIPOLAR DISORD, IN PARTIAL REMIS, MOST RECENT EPISODE MIXED"
F3178,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MIXED"
F3178,"BIPOLAR DISORDER, IN FULL REMIS, MOST RECENT EPISODE MIXED"
F318,OTHER BIPOLAR DISORDERS
F3181,BIPOLAR II DISORDER
F3181,BIPOLAR II DISORDER
F3189,OTHER BIPOLAR DISORDER
F3189,OTHER BIPOLAR DISORDER
F319,"BIPOLAR DISORDER, UNSPECIFIED"
F319,"BIPOLAR DISORDER, UNSPECIFIED"